ID,City,Fin Province/State,Country/Region,Continent,Lat,Long,Notes,Date,Confirmed,Deaths,Recovered,Fatality Rate,Recovery Rate
Afghanistan43862,,,Afghanistan,Asia,33,65,,01/02/2020,0,0,0,0.00,0.00
Afghanistan43891,,,Afghanistan,Asia,33,65,,01/03/2020,1,0,0,0.00,0.00
Afghanistan43863,,,Afghanistan,Asia,33,65,,02/02/2020,0,0,0,0.00,0.00
Afghanistan43892,,,Afghanistan,Asia,33,65,,02/03/2020,1,0,0,0.00,0.00
Afghanistan43864,,,Afghanistan,Asia,33,65,,03/02/2020,0,0,0,0.00,0.00
Afghanistan43893,,,Afghanistan,Asia,33,65,,03/03/2020,1,0,0,0.00,0.00
Afghanistan43865,,,Afghanistan,Asia,33,65,,04/02/2020,0,0,0,0.00,0.00
Afghanistan43894,,,Afghanistan,Asia,33,65,,04/03/2020,1,0,0,0.00,0.00
Afghanistan43866,,,Afghanistan,Asia,33,65,,05/02/2020,0,0,0,0.00,0.00
Afghanistan43895,,,Afghanistan,Asia,33,65,,05/03/2020,1,0,0,0.00,0.00
Afghanistan43867,,,Afghanistan,Asia,33,65,,06/02/2020,0,0,0,0.00,0.00
Afghanistan43896,,,Afghanistan,Asia,33,65,,06/03/2020,1,0,0,0.00,0.00
Afghanistan43868,,,Afghanistan,Asia,33,65,,07/02/2020,0,0,0,0.00,0.00
Afghanistan43897,,,Afghanistan,Asia,33,65,,07/03/2020,1,0,0,0.00,0.00
Afghanistan43869,,,Afghanistan,Asia,33,65,,08/02/2020,0,0,0,0.00,0.00
Afghanistan43898,,,Afghanistan,Asia,33,65,,08/03/2020,4,0,0,0.00,0.00
Afghanistan43870,,,Afghanistan,Asia,33,65,,09/02/2020,0,0,0,0.00,0.00
Afghanistan43899,,,Afghanistan,Asia,33,65,,09/03/2020,4,0,0,0.00,0.00
Afghanistan43871,,,Afghanistan,Asia,33,65,,10/02/2020,0,0,0,0.00,0.00
Afghanistan43900,,,Afghanistan,Asia,33,65,,10/03/2020,5,0,0,0.00,0.00
Afghanistan43872,,,Afghanistan,Asia,33,65,,11/02/2020,0,0,0,0.00,0.00
Afghanistan43873,,,Afghanistan,Asia,33,65,,12/02/2020,0,0,0,0.00,0.00
Afghanistan43874,,,Afghanistan,Asia,33,65,,13/02/2020,0,0,0,0.00,0.00
Afghanistan43875,,,Afghanistan,Asia,33,65,,14/02/2020,0,0,0,0.00,0.00
Afghanistan43876,,,Afghanistan,Asia,33,65,,15/02/2020,0,0,0,0.00,0.00
Afghanistan43877,,,Afghanistan,Asia,33,65,,16/02/2020,0,0,0,0.00,0.00
Afghanistan43878,,,Afghanistan,Asia,33,65,,17/02/2020,0,0,0,0.00,0.00
Afghanistan43879,,,Afghanistan,Asia,33,65,,18/02/2020,0,0,0,0.00,0.00
Afghanistan43880,,,Afghanistan,Asia,33,65,,19/02/2020,0,0,0,0.00,0.00
Afghanistan43881,,,Afghanistan,Asia,33,65,,20/02/2020,0,0,0,0.00,0.00
Afghanistan43882,,,Afghanistan,Asia,33,65,,21/02/2020,0,0,0,0.00,0.00
Afghanistan43852,,,Afghanistan,Asia,33,65,,22/01/2020,0,0,0,0.00,0.00
